n,m,p,seed,algoritmo,dim_cover,tempo_sec,valid
100,50,0.1,17,GreedyHashMap,18,6.4e-05,1
100,50,0.1,17,Randomized,21,0.000505,1
100,50,0.1,53,Greedy,15,0.000141,1
100,50,0.1,53,GreedyHashMap,16,6e-05,1
100,50,0.1,53,Randomized,25,0.000462,1
100,50,0.1,77,Greedy,15,0.000149,1
100,50,0.1,77,GreedyHashMap,16,6.3e-05,1
100,50,0.1,77,Randomized,31,0.000552,1
100,50,0.1,101,Greedy,16,0.000154,1
100,50,0.1,101,GreedyHashMap,17,5.9e-05,1
100,50,0.1,101,Randomized,33,0.000623,1
100,50,0.1,200,Greedy,20,0.000159,1
100,50,0.1,200,GreedyHashMap,22,5.9e-05,1
100,50,0.1,200,Randomized,29,0.000413,1
100,50,0.3,42,Greedy,8,0.000186,1
100,50,0.3,42,GreedyHashMap,7,7.4e-05,1
100,50,0.3,42,Randomized,21,0.000822,1
100,50,0.3,123,Greedy,6,0.000136,1
100,50,0.3,123,GreedyHashMap,6,7.2e-05,1
100,50,0.3,123,Randomized,24,0.000727,1
100,50,0.3,7,Greedy,7,0.000158,1
100,50,0.3,7,GreedyHashMap,7,7.5e-05,1
100,50,0.3,7,Randomized,16,0.000917,1
100,50,0.3,31,Greedy,6,0.000138,1
100,50,0.3,31,GreedyHashMap,6,6.9e-05,1
100,50,0.3,31,Randomized,20,0.000723,1
100,50,0.3,999,Greedy,6,0.000148,1
100,50,0.3,999,GreedyHashMap,6,6.8e-05,1
100,50,0.3,999,Randomized,21,0.000772,1
100,50,0.3,17,Greedy,7,0.000152,1
100,50,0.3,17,GreedyHashMap,6,6.6e-05,1
100,50,0.3,17,Randomized,20,0.00077,1
100,50,0.3,53,Greedy,6,0.000132,1
100,50,0.3,53,GreedyHashMap,6,6.7e-05,1
100,50,0.3,53,Randomized,20,0.000784,1
100,50,0.3,77,Greedy,6,0.000141,1
100,50,0.3,77,GreedyHashMap,6,6.9e-05,1
100,50,0.3,77,Randomized,21,0.000869,1
100,50,0.3,101,Greedy,6,0.000131,1
100,50,0.3,101,GreedyHashMap,7,6.8e-05,1
100,50,0.3,101,Randomized,20,0.000699,1
100,50,0.3,200,Greedy,6,0.000129,1
100,50,0.3,200,GreedyHashMap,7,6.4e-05,1
100,50,0.3,200,Randomized,19,0.00087,1
100,50,0.5,42,Greedy,5,0.000164,1
100,50,0.5,42,GreedyHashMap,5,7.4e-05,1
100,50,0.5,42,Randomized,12,0.000856,1
100,50,0.5,123,Greedy,4,0.000125,1
100,50,0.5,123,GreedyHashMap,4,6.9e-05,1
100,50,0.5,123,Randomized,13,0.00088,1
100,50,0.5,7,Greedy,4,0.000119,1
100,50,0.5,7,GreedyHashMap,5,7e-05,1
100,50,0.5,7,Randomized,11,0.000946,1
100,50,0.5,31,Greedy,4,0.000114,1
100,50,0.5,31,GreedyHashMap,4,6.7e-05,1
100,50,0.5,31,Randomized,15,0.000805,1
100,50,0.5,999,Greedy,4,0.000116,1
100,50,0.5,999,GreedyHashMap,4,6.6e-05,1
100,50,0.5,999,Randomized,17,0.000989,1
100,50,0.5,17,Greedy,4,0.000116,1
100,50,0.5,17,GreedyHashMap,4,6.6e-05,1
100,50,0.5,17,Randomized,17,0.000673,1
100,50,0.5,53,Greedy,4,0.00012,1
100,50,0.5,53,GreedyHashMap,4,6.8e-05,1
100,50,0.5,53,Randomized,16,0.000839,1
100,50,0.5,77,Greedy,4,0.000124,1
100,50,0.5,77,GreedyHashMap,4,6.8e-05,1
100,50,0.5,77,Randomized,18,0.000844,1
100,50,0.5,101,Greedy,4,0.000109,1
100,50,0.5,101,GreedyHashMap,4,6.2e-05,1
100,50,0.5,101,Randomized,14,0.000999,1
100,50,0.5,200,Greedy,4,0.00011,1
100,50,0.5,200,GreedyHashMap,4,6.3e-05,1
100,50,0.5,200,Randomized,14,0.000899,1
100,100,0.1,42,Greedy,15,0.000203,1
100,100,0.1,42,GreedyHashMap,15,5.8e-05,1
100,100,0.1,42,Randomized,42,0.000936,1
100,100,0.1,123,Greedy,15,0.00018,1
100,100,0.1,123,GreedyHashMap,15,5.7e-05,1
100,100,0.1,123,Randomized,34,0.000846,1
100,100,0.1,7,Greedy,16,0.000186,1
100,100,0.1,7,GreedyHashMap,15,5.3e-05,1
100,100,0.1,7,Randomized,41,0.000952,1
100,100,0.1,31,Greedy,15,0.000179,1
100,100,0.1,31,GreedyHashMap,15,5.6e-05,1
100,100,0.1,31,Randomized,37,0.000691,1
100,100,0.1,999,Greedy,15,0.00019,1
100,100,0.1,999,GreedyHashMap,14,5.6e-05,1
100,100,0.1,999,Randomized,39,0.000699,1
100,100,0.1,17,Greedy,15,0.000203,1
100,100,0.1,17,GreedyHashMap,14,5.5e-05,1
100,100,0.1,17,Randomized,38,0.000719,1
100,100,0.1,53,Greedy,12,0.000153,1
100,100,0.1,53,GreedyHashMap,12,5.4e-05,1
100,100,0.1,53,Randomized,38,0.000867,1
100,100,0.1,77,Greedy,13,0.000165,1
100,100,0.1,77,GreedyHashMap,15,5.5e-05,1
100,100,0.1,77,Randomized,38,0.000751,1
100,100,0.1,101,Greedy,14,0.000167,1
100,100,0.1,101,GreedyHashMap,14,5.4e-05,1
100,100,0.1,101,Randomized,40,0.00086,1
100,100,0.1,200,Greedy,16,0.000191,1
100,100,0.1,200,GreedyHashMap,16,5.6e-05,1
100,100,0.1,200,Randomized,45,0.000994,1
100,100,0.3,42,Greedy,6,0.000214,1
100,100,0.3,42,GreedyHashMap,6,7.3e-05,1
100,100,0.3,42,Randomized,20,0.001504,1
100,100,0.3,123,Greedy,6,0.000194,1
100,100,0.3,123,GreedyHashMap,6,7e-05,1
100,100,0.3,123,Randomized,22,0.001474,1
100,100,0.3,7,Greedy,7,0.000218,1
100,100,0.3,7,GreedyHashMap,7,7.3e-05,1
100,100,0.3,7,Randomized,24,0.001486,1
100,100,0.3,31,Greedy,6,0.000184,1
100,100,0.3,31,GreedyHashMap,7,7.3e-05,1
100,100,0.3,31,Randomized,23,0.001213,1
100,100,0.3,999,Greedy,6,0.000195,1
100,100,0.3,999,GreedyHashMap,6,7e-05,1
100,100,0.3,999,Randomized,29,0.001429,1
