n,m,p,seed,t_lp,t_round,t_verifica,t_totale
6400,100,0.3,999,0.140527,1.4e-05,0.005096,0.145637
12800,20,0.3,42,0.025229,4e-06,0.00323,0.028463
12800,20,0.3,123,0.025713,4e-06,0.003336,0.029053
12800,20,0.3,7,0.025713,4e-06,0.003455,0.029172
12800,20,0.3,31,0.025937,5e-06,0.003408,0.02935
12800,20,0.3,999,0.025737,5e-06,0.00335,0.029092
12800,50,0.3,42,0.104755,1.1e-05,0.007871,0.112637
12800,50,0.3,123,0.097517,1e-05,0.007479,0.105006
12800,50,0.3,7,0.098214,1.2e-05,0.006997,0.105223
12800,50,0.3,31,0.102892,1.1e-05,0.00766,0.110563
12800,50,0.3,999,0.092888,1.1e-05,0.007373,0.100272
12800,100,0.3,42,0.335692,1.4e-05,0.010289,0.345995
12800,100,0.3,123,0.334398,1.3e-05,0.008342,0.342753
12800,100,0.3,7,0.332121,1.4e-05,0.010005,0.34214
12800,100,0.3,31,0.304121,1.4e-05,0.010353,0.314488
12800,100,0.3,999,0.302687,1.5e-05,0.011202,0.313904
